RRKM rate, sf=0.970, S*=9.63, E0=2.74 and Delta=2.74
   En (eV)    k (s-1)
         0          0
  0.012398          0
  0.024796          0
  0.037194          0
  0.049593          0
  0.061991          0
  0.074389          0
  0.086787          0
  0.099185          0
   0.11158          0
   0.12398          0
   0.13638          0
   0.14878          0
   0.16118          0
   0.17357          0
   0.18597          0
   0.19837          0
   0.21077          0
   0.22317          0
   0.23556          0
   0.24796          0
   0.26036          0
   0.27276          0
   0.28516          0
   0.29756          0
   0.30995          0
   0.32235          0
   0.33475          0
   0.34715          0
   0.35955          0
   0.37194          0
   0.38434          0
   0.39674          0
   0.40914          0
   0.42154          0
   0.43393          0
   0.44633          0
   0.45873          0
   0.47113          0
   0.48353          0
   0.49593          0
   0.50832          0
   0.52072          0
   0.53312          0
   0.54552          0
   0.55792          0
   0.57031          0
   0.58271          0
   0.59511          0
   0.60751          0
   0.61991          0
    0.6323          0
    0.6447          0
    0.6571          0
    0.6695          0
    0.6819          0
    0.6943          0
   0.70669          0
   0.71909          0
   0.73149          0
   0.74389          0
   0.75629          0
   0.76868          0
   0.78108          0
   0.79348          0
   0.80588          0
   0.81828          0
   0.83067          0
   0.84307          0
   0.85547          0
   0.86787          0
   0.88027          0
   0.89267          0
   0.90506          0
   0.91746          0
   0.92986          0
   0.94226          0
   0.95466          0
   0.96705          0
   0.97945          0
   0.99185          0
    1.0042          0
    1.0166          0
     1.029          0
    1.0414          0
    1.0538          0
    1.0662          0
    1.0786          0
     1.091          0
    1.1034          0
    1.1158          0
    1.1282          0
    1.1406          0
     1.153          0
    1.1654          0
    1.1778          0
    1.1902          0
    1.2026          0
     1.215          0
    1.2274          0
    1.2398          0
    1.2522          0
    1.2646          0
     1.277          0
    1.2894          0
    1.3018          0
    1.3142          0
    1.3266          0
     1.339          0
    1.3514          0
    1.3638          0
    1.3762          0
    1.3886          0
     1.401          0
    1.4134          0
    1.4258          0
    1.4382          0
    1.4506          0
     1.463          0
    1.4754          0
    1.4878          0
    1.5002          0
    1.5126          0
     1.525          0
    1.5374          0
    1.5498          0
    1.5622          0
    1.5746          0
     1.587          0
    1.5994          0
    1.6118          0
    1.6242          0
    1.6366          0
     1.649          0
    1.6613          0
    1.6737          0
    1.6861          0
    1.6985          0
    1.7109          0
    1.7233          0
    1.7357          0
    1.7481          0
    1.7605          0
    1.7729          0
    1.7853          0
    1.7977          0
    1.8101          0
    1.8225          0
    1.8349          0
    1.8473          0
    1.8597          0
    1.8721          0
    1.8845          0
    1.8969          0
    1.9093          0
    1.9217          0
    1.9341          0
    1.9465          0
    1.9589          0
    1.9713          0
    1.9837          0
    1.9961          0
    2.0085          0
    2.0209          0
    2.0333          0
    2.0457          0
    2.0581          0
    2.0705          0
    2.0829          0
    2.0953          0
    2.1077          0
    2.1201          0
    2.1325          0
    2.1449          0
    2.1573          0
    2.1697          0
    2.1821          0
    2.1945          0
    2.2069          0
    2.2193          0
    2.2317          0
    2.2441          0
    2.2565          0
    2.2689          0
    2.2813          0
    2.2937          0
    2.3061          0
    2.3185          0
    2.3308          0
    2.3432          0
    2.3556          0
     2.368          0
    2.3804          0
    2.3928          0
    2.4052          0
    2.4176          0
      2.43          0
    2.4424          0
    2.4548          0
    2.4672          0
    2.4796          0
     2.492          0
    2.5044          0
    2.5168          0
    2.5292          0
    2.5416          0
     2.554          0
    2.5664          0
    2.5788          0
    2.5912          0
    2.6036          0
     2.616          0
    2.6284          0
    2.6408          0
    2.6532          0
    2.6656          0
     2.678          0
    2.6904          0
    2.7028          0
    2.7152          0
    2.7276          0
      2.74          0
    2.7524 9.2575e-12
    2.7648 2.4255e-11
    2.7772 7.0635e-11
    2.7896 1.4198e-10
     2.802 2.9143e-10
    2.8144 5.3334e-10
    2.8268 9.5384e-10
    2.8392 1.6261e-09
    2.8516 2.6795e-09
     2.864 4.3135e-09
    2.8764 6.7517e-09
    2.8888 1.0393e-08
    2.9012 1.5662e-08
    2.9136  2.326e-08
     2.926 3.4001e-08
    2.9384  4.907e-08
    2.9508 6.9943e-08
    2.9632 9.8578e-08
    2.9756 1.3751e-07
     2.988 1.8996e-07
    3.0003 2.6009e-07
    3.0127 3.5312e-07
    3.0251  4.757e-07
    3.0375 6.3609e-07
    3.0499 8.4467e-07
    3.0623 1.1143e-06
    3.0747 1.4609e-06
    3.0871 1.9039e-06
    3.0995 2.4675e-06
    3.1119 3.1808e-06
    3.1243 4.0794e-06
    3.1367 5.2066e-06
